"Reference","Value","Footprint","Qty","DNP"
"C?,C?,C?,C?,C?,C?,C?,C?,C?,C?,C?","100n","","11",""
"C?","100u","","1",""
"C?","1000u","","1",""
"D?","1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"R?","3k3","","1",""
"Q?,Q?,Q?","BC547","Package_TO_SOT_THT:TO-92_Inline","3",""
"Q?","BC557","Package_TO_SOT_THT:TO-92_Inline","1",""
"U?","BMP1750","","1",""
"BZ?","Buzzer","","1",""
"U?","DS3231-AT24C32","","1",""
"U?,U?,U?,U?","HEF4093B","","4",""
"J?","I2C_EXT","","1",""
"Q1","IRFZ44N","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"D?,D?,D?,D?","LED","","4",""
"J?","LEDS","","1",""
"U?","LEVEL-SHIFTER","","1",""
"U?,U?,U?","LM358","","3",""
"U?","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"J?","PCF","","1",""
"J?","POWER","","1",""
"R?,R?,R?,R?,R?,R?,R?,R?,R?,R?,R?,R?,R?,R?,R?,R?,R?,R?,R?","R","","19",""
"U1","Raspberry Pi Pico 2","TD3-EGA:PICO2","1",""
"SW?","RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","1",""
"TP?","TestPoint","","1",""
"J?","UART_EXT","","1",""
"U?,U?","~","","2",""
